kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,tyvXLWeEKWqltk-7oZJiI_3KcAw,fGkINQho588,67251,241,0,28
youtube#video,etTDb24YRzLSF2Ji6WqBkdOygaE,Snr36IgGduU,53035,580,0,59
youtube#video,TbxBbGbs8owUjl5w6o02pN9hUAA,E6efkNnAYBw,28399,185,0,22
youtube#video,85OoOOHJVkODE6LNBmmeJ0KtPwo,Jq3UAbf2yeM,4154,92,0,14
youtube#video,7oqdd3ubmm4pR1Z98KWuWBZqenM,xP_bSM61g4E,1009,4,0,
youtube#video,FZ3JBPAL_WPelk1gqwWH4M_spmk,PbO-R6RcRAQ,16458,,0,
youtube#video,HMhZMrKeiB9yI1Dl78R4Yh3F3XI,2tYlsHgLL3Q,2312,19,0,3
youtube#video,8RBx4IFlYedzqqXTBf9YpknRZr8,H1wARdDfJGg,163679,749,0,50
youtube#video,0zmdNXgrdSuQkVTEpxkIZfCsOSc,vFYb1lUXm-Y,739,3,0,1
youtube#video,Wr7WvyxzJy0Jnm2JmPaX8dYS7AQ,Ztf4hab2L14,70870,320,0,72
youtube#video,mhKvmMKkm4BTYTC1BblspAFwpzs,Sk1cnCzqkks,570032,13205,0,305
youtube#video,7T0neJpqwjiM89598H7164tPc_Y,-a324yqvn7A,427499,14402,0,1014
youtube#video,f7f1SETbLY8QTu4YYpZuwNODBGw,8ndeM_beYaA,112433,138,0,13
youtube#video,usr5hjFNLBaq4xHqwtBjigpCijs,hs5OGigVfUQ,2828,1,0,0
youtube#video,FHr_XnPFteNs7QEEMMcVmaLsWwc,NqZQGqYG0rQ,2001,38,0,13
youtube#video,51_DvaqlhKmSc6Nb6BOxRPhhlhw,XtzefkajsE4,315,4,0,0
youtube#video,J2OcEBhKJNTAoSPQ6m839-jrReY,EWhL5m8BFpE,396,6,0,4
youtube#video,wAbbgsLcEneUEsKZQ1B-bXXvauA,_PFsbDtXwCI,629,11,0,0
youtube#video,KEsc2KrmP0Ix7ud9KicLkM9Qij4,w9WhCnLKCO0,305211,1026,0,37
youtube#video,zXQW2gy-dsTr3FqQ3TZg4RHcvPI,s3GarHUWMSI,5119,27,0,
youtube#video,0haJklMDroCgVygXvfCzn7TM6Ns,61XrK3EKyS4,10690,81,0,1
youtube#video,U2WRVuXh9CCvMh5ulTSzqgHXp1A,GPC8yC7BzvA,11920,41,0,3
youtube#video,snPb4N6VgjazOye95UkR3kUx6xA,eCdoqPE0dLU,2674,20,0,0
youtube#video,pQ-WOGPFCsV8bfVfJn7gWEazbvk,7GHhfIK4Clg,18074,633,0,65
youtube#video,Ch11e5Sfl_X7AmkzRp0M-2x421E,G5qdY4HkDC4,26002,216,0,30
youtube#video,ZTzEshnVgKOH6_p8GsYTEuyjl0c,-yssMCkLBxc,3124,22,0,1
