kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,Oad6tdk2-bLx995TvOjeiJhmZL8,54vEs4cDnME,2168,31,0,0
youtube#video,JUgnrLMbDNitbcqbKMeRWaMlQUI,b_koEWXfJvo,7110,37,0,4
youtube#video,aHwWnt_N62sFZOE2p6thRjvA6Rk,WwwJVAFAlmI,106,8,0,0
youtube#video,E420E_pem3sQQs8kdgR6k-A_tLo,OQs9ZtdZjY0,2863107,66192,0,3300
youtube#video,DZoP1p1KRl71H_0mOg463FrwEBY,DOk32qxOl08,2683,32,0,4
youtube#video,m-9e-EMsTdVeg11YXMaWGVhHYGQ,K4sVvXUvF4c,2306,62,0,16
youtube#video,mjus-vsHDuiPoy0IIyY179tNkjo,-ZGy04QaJjk,17210,80,0,3
youtube#video,xmhr5Juh3hUrg4LonTVN8uAbn_I,AIAWoEX2X1M,14395,100,0,3
youtube#video,hT9-oUw6PF1P4aetbwZ408ORJds,YCTZBtujryw,59628,307,0,3
youtube#video,DaPMcSDYvYHiP01wfIVTAHijc04,NO3AkZ4R29c,22734,107,0,2
youtube#video,CrpNaDMXTMyf4Zrxsa5yf6MChVU,GP3h1K3nRvQ,13049,81,0,2
youtube#video,rz9BKvYNG3JumMTxEEYTeK3K1R0,CLem9xpM9W0,2193321,6356,0,102
youtube#video,yquH8b5pA-14zUv9YEBWlOF1dww,ZW2oWBTYEz8,61875,313,0,2
youtube#video,NQ382z4DoJnrvUw5thiqbDYatMo,yfUklpGg3LI,17921,88,0,4
youtube#video,BuhmCI4cbISdCbR7DE3c2AFG8_Y,_zzroHaUSTE,101027,416,0,11
youtube#video,XRkUyPm_3S6rdwSmcK0BmepQkvI,4j3NJN7-81c,168928,576,0,14
youtube#video,ByeHMs8mwahfytK1aSRcAWBQfKE,7dgjBjEpMsM,402938,3082,0,193
youtube#video,4wClNSFjDOXqnfqkZABshk93I28,aQO16k5Vdow,3620645,52789,0,1440
youtube#video,ks7JpQtPx6u0JIG-5EcIny5sx6o,8Cext3DG0ns,28445,126,0,5
youtube#video,so7txNpv-8IHNHvwY3PjT1YvOnc,WZFkqY9rdvI,543,3,0,0
youtube#video,2p4ZVqT4O6VpZ92tKtQ0-vdhOy0,Pi9fYbM8A0w,251942,874,0,80
youtube#video,iNUpq9QV5vUcbmBfm5Yc-tWLiU8,I6lnWirRxhQ,19049,82,0,3
youtube#video,u3dMRwf4YgUGemorm_iFWM5so5Q,DrB662yGnZI,111606,338,0,12
youtube#video,xRMmavLsSOdJM4iI0z4PWCRt6Ns,g7ZdIahdbU8,21074,580,0,24
youtube#video,CZj_l5rhdrV3zlZFHc-1c8mhFXU,9zis0vxefts,99389,918,0,81
youtube#video,4uEcYHFdb2fee0vZheIY2YqXN_A,FHn9BmxKyvA,90344,1455,0,48
youtube#video,1ukQa3e6-uHSBwf7Xfidlk-iiKA,xWByujyT2rI,20614,527,0,46
youtube#video,jo5zligLfHlX1L7Y6ri8YStqbnw,DsB9BakpCTY,20229,361,0,21
youtube#video,rEgRzK74UE5xrTNu0vmWk7g5v4A,vChbtnS7FdM,23447,347,0,49
youtube#video,BZ5j-rKtjGCtPFYTvpat9Qt-dXM,kVgxQJlgDAQ,185330,3875,0,338
youtube#video,oVe9Eo5KF7p93n3CcDZh5jaDEfc,HQOEfU6Nt9Y,245369,3965,0,128
youtube#video,mQdftTv2bgxygmXlCbe8wryOMgM,twl_Gec4TSQ,173096,2301,0,128
youtube#video,NbpQpk61RfKC1OqR_g2AUG_y_5A,nL8tdegPQPg,128904,2966,0,79
youtube#video,RzWSSMtSe6aK6a0NBIWcyxGyf28,K7g6fZH220Y,102892,656,0,48
youtube#video,-NYFyK5VVFJCjiXO3o403fmnu8k,Shs7UMYQzVM,12892,270,0,21
youtube#video,q4J4TU9QapbEsOF5jUjRrK7nt2A,86WVlFR8dLc,147437,4596,0,134
youtube#video,doBwiHLMi6tj4B_ZkqTQD2Xx1fo,EBnF9XEjnxw,19148,434,0,51
youtube#video,GMLR-ArV-n5Eft1wNnDhCDFab_o,WPvmh4Cw54A,24595,604,0,64
youtube#video,V2lDB41Gid1FLsxCM-sm-YdvNnU,12Ur2THtOPM,101352,2002,0,203
youtube#video,UfrUJ-0C48V9V00I-UFU4YqKzmk,NU39cERScn4,45015,1033,0,116
youtube#video,BKSceki73rCGvqq2zQs8WqQMCog,b1b4Wbhv0E0,66824,1604,0,136
youtube#video,CT7XauSxY57ik4y9RGaYztuZf8s,XPOn2hIrvzI,42251,889,0,55
youtube#video,j9xmEZQNKEdBRQhSdHPL742Z82E,7jB5gCD5kjU,50206,559,0,55
youtube#video,lrWnuuB-oITigmVLOKdWbH_iDZg,s-TublCeuSE,152122,1787,0,133
youtube#video,31Co_qe8bQiR3n-UAjp4Xi3_jfk,KwsCbdhO2SU,68833,809,0,67
youtube#video,91Ua_yqlPX53OG7bzhDKIqLLJlE,1_TuEO6Mttw,4631202,48184,0,3407
youtube#video,mXuRWG7dpEH3HLPot8J6y3JPTtQ,p2U7OvRUNv4,58905,1006,0,101
youtube#video,KZWUA1uRuhsQq3rErMW2tNf-588,-r3DXP-sVDs,5861,107,0,11
youtube#video,IsH6Ly-sNPgDPDwI5K6FyEZPKnE,yYpCilOzruU,12924,222,0,24
youtube#video,2EybB24y6KPDq8AyGAOp0-CaLpo,r6lnvApZa7M,11768,209,0,8
youtube#video,AWHGVlVfFNY8Odu4ilfefECFgXI,2u4tR8se-40,12748,557,0,37
youtube#video,ENIML71xqoeYS-eGpo9BUEbwdlA,suf4D0f1NuE,102396,5587,0,214
youtube#video,fqO59-JuvxskEJ48mFRuwezJARM,26bgYpJOqcw,6881700,61557,0,2913
youtube#video,Ao3YEnm0gKPHYY5sTE9l9E6XqLQ,AID-fCCESww,13028,393,0,0
youtube#video,wvxwlcMd_LbhLiqJF9UHDSxLqXg,l9fvEDpub8M,2739125,32134,0,1460
youtube#video,YbhMp5d0PA52528j6yxwnPbMnQI,AvqgxCw75JA,402731,5233,0,191
youtube#video,pW5grAOqV4GfGy_GW3079vvgrWs,wkDiyC82boU,147509,3033,0,138
youtube#video,95Ce6WXxSg2wQpBPXetlDt_X_qM,3pzNn31ukI4,133380,2416,0,130
youtube#video,WStXZGTJrYMERvINAsXyIaJud8Q,u8QjWsiACTE,217925,10164,0,902
youtube#video,YQuxI8JlsHeWeFx71JtCJQcvLKI,xEvs38heDXY,8947,333,0,20
youtube#video,o2egDh0Dfi3QntNWPN7FT4kcULI,Ul7--N4iZH0,53009,1459,0,147
youtube#video,tB9ES3FJPsSdB3idQK3eV0ZA2NI,hD_FiUOOkko,580843,33134,0,952
youtube#video,j2USfZ5KkYQ0NdWJqiHizDfoT90,w0HgHet0sxg,4517306,86953,0,6366
youtube#video,tfBcIQ0_MyiFJUvUmwAo2ykRIro,A8y30Uyqc1E,743994,17749,0,549
youtube#video,XCax6TOiDY8KmPOl86PClVV0oy0,aSHs224Dge0,299521,4063,0,195
youtube#video,0oPQdD4yg60p37XbKIpFoJOWQQ0,hbMBvesE3T4,59667,1767,0,235
youtube#video,R9Pkln7rHEyP2MJSn9AT0aTVBFU,8g18jFHCLXk,35434438,453529,0,36089
youtube#video,SjTIFw1S6gJLaRo2tbh6Jnbn6vs,n9xhJrPXop4,44659429,680691,0,65988
youtube#video,ufceB1CteT8zaTs5kHMlaF0hods,HHGmpXkruJQ,4460,79,0,8
youtube#video,WctDQUOv3KHeZ5h5NPWWOWnODuA,lNHGnnNO2Lc,901,74,0,33
youtube#video,x2IFkjQ3bKfEEiprkyH-vMO3bnU,Fla7wODkMRg,6989,210,0,59
youtube#video,VvV_auOcNLNKTFYjDyxW2RRU8Tw,S9epbbvmyn4,224,13,0,2
youtube#video,-XExbHVyKZo5omLYsPiyit-XN7M,9IWckN3jwAY,171,8,0,1
youtube#video,lPk0d5SIRDZ8alykberDkRBz99A,agQm4D0GzGY,949,9,0,0
youtube#video,SHP7WPGUtvJaUQ_zjT8Q_HqpsMw,rGOGZgaeZNU,218,3,0,
youtube#video,pkKmkTUTYg6ptcJq2mX5Nhdmn8k,uMbBIB59BX8,48485,312,0,13
youtube#video,ZgPhriTaqyXv4bkzosvMY2PQiGQ,PHB2EuqvDug,2668,111,0,10
youtube#video,P9YYvvEijLM910Fq5FgdMbjPyL0,5n_nM-STNdo,17407,72,0,9
youtube#video,sFsSahkYg4oyGxXgQy8n5Gt2TdI,ucZFfJCran8,31571,43,0,4
youtube#video,vNB-_Bp6sSA6IBTAguqfIQkSIwQ,xGQQxmtX-FI,49182,236,0,22
youtube#video,oqIPzUvGU1bG0P53K2NdeXt-tz0,fWGcRagbt7o,21668,240,0,21
youtube#video,XlSmMoxkqlkfqmzJFe5seNphUos,9aTZ-maLMnM,4958,12,0,1
youtube#video,7FG26l8KXaPr9QWX98oSItVrBEI,DibCYmZbPvQ,190443,4709,0,0
youtube#video,yB3vyao_V_4iTqzgivt2N8QHOmg,_soLsXDPYlw,70085,187,0,8
youtube#video,7tMb89qnIHg95wNSDIbWPmfzlTI,eChy46c_Lf8,60835,154,0,13
youtube#video,ekkujREimXval-7-qeZPO7oqcuM,2UT6Zw4-Yg0,392331,8800,0,1627
youtube#video,yiH9IoyutvpcPlGeLWOn5fh58Cc,aT7jxNGj9T0,37976,254,0,
youtube#video,7BWTVgSCOHSDbiSNyJzXSPw8i-k,CWtvC5a5TB0,197260,2418,0,193
youtube#video,F8rG2RJLFtJH-mTb_xyIsadPJGw,2vnTvMK3vVc,3794218,154422,0,0
youtube#video,UPtVIxW6RSj4x-zrZCZ7KP0oD5o,olaTxVU_ssU,163303,440,0,26
youtube#video,74kaxqbOR3XQXx1j5PGZqstpzW0,kLFK4XXBL9I,1368,8,0,0
