video_key_id,view_count,like_count,comment_count
397486710,173.0,1.0,0.0
423011306,244.0,0.0,0.0
469097804,1188.0,5.0,0.0
745217297,21.0,0.0,0.0
512986681,402.0,5.0,0.0
371366285,1825.0,9.0,0.0
438725878,388.0,0.0,0.0
432257795,98.0,0.0,0.0
420406249,545.0,4.0,0.0
476220028,3024.0,215.0,5.0
477336845,75.0,0.0,0.0
508896482,10.0,0.0,0.0
492305658,36.0,0.0,0.0
459193733,86.0,0.0,0.0
584675034,299.0,0.0,0.0
162928303,2237.0,5.0,0.0
478593498,11372.0,25.0,0.0
466480508,936.0,1.0,0.0
340063464,129.0,1.0,0.0
442128176,9.0,0.0,0.0
469597415,546.0,10.0,8.0
486326187,301.0,0.0,0.0
438098523,500.0,4.0,0.0
451738019,362.0,3.0,0.0
428150437,44.0,0.0,0.0
454169423,416.0,3.0,1.0
477125038,157.0,2.0,2.0
421206024,174.0,1.0,0.0
475990188,186.0,0.0,0.0
360609053,917.0,10.0,0.0
444579127,3653.0,92.0,2.0
429536028,396.0,5.0,0.0
475461237,3010.0,105.0,4.0
403760229,801.0,3.0,0.0
475159361,170.0,0.0,0.0
425185797,196.0,2.0,0.0
451401547,6049.0,9.0,2.0
472360536,717.0,3.0,0.0
523645574,117.0,0.0,0.0
435874801,448.0,1.0,0.0
521363850,135.0,0.0,0.0
293801200,531.0,1.0,0.0
463640453,5.0,0.0,0.0
463753869,291.0,1.0,0.0
401588532,2736.0,40.0,2.0
408763826,271.0,1.0,0.0
361829106,806.0,1.0,0.0
439598151,829.0,0.0,0.0
461242197,4388.0,4.0,0.0
447650472,750.0,5.0,1.0
470998258,79.0,1.0,0.0
408067168,21.0,0.0,0.0
285351329,213.0,0.0,0.0
467114555,2503.0,4.0,0.0
476153585,503.0,3.0,0.0
473042135,83602.0,748.0,10.0
473777471,209.0,2.0,0.0
459917712,9.0,0.0,0.0
501826966,363.0,6.0,0.0
466637392,93.0,2.0,0.0
475509940,8164.0,1.0,0.0
509143860,33.0,1.0,0.0
481816384,30.0,1.0,0.0
682059830,316.0,0.0,0.0
618432501,713.0,5.0,0.0
789174036,99.0,1.0,0.0
394788407,146.0,2.0,0.0
372584378,2441.0,4.0,0.0
507322314,8208.0,303.0,7.0
285577112,472.0,0.0,0.0
508991303,15.0,0.0,1.0
508987296,8.0,0.0,0.0
495290944,737.0,18.0,1.0
488693296,82.0,0.0,0.0
222280145,63.0,1.0,0.0
476570224,364.0,3.0,0.0
476543826,102.0,1.0,0.0
370931306,4894.0,60.0,3.0
208255066,280.0,0.0,0.0
414682588,130.0,0.0,0.0
392604450,47.0,2.0,0.0
494066737,35073.0,215.0,5.0
442619023,113.0,0.0,0.0
483680688,5615.0,0.0,0.0
491708365,4072.0,15.0,8.0
461832090,1477.0,39.0,0.0
494135935,172.0,0.0,0.0
493295123,153.0,4.0,0.0
376982452,29.0,0.0,0.0
457393145,388.0,0.0,0.0
496855257,5415.0,47.0,0.0
495893817,142.0,0.0,0.0
567186558,53.0,0.0,0.0
511607063,362.0,2.0,0.0
635389418,30.0,2.0,0.0
416550297,252.0,0.0,0.0
492164036,43.0,2.0,0.0
361273963,2543.0,2.0,0.0
518231604,141278.0,318.0,0.0
394657083,3614.0,6.0,0.0
394655971,4957.0,13.0,0.0
365247859,61.0,0.0,0.0
491387057,175.0,2.0,0.0
506117402,13.0,0.0,0.0
