kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,mEhD7KFopwddnqkSLe6bGWUb3nc,HgG2m9Mu1F0,449,14,0,6
youtube#video,2T-U1E4bGSRgobwa7I2dRN2F2Eg,2llgSImXPjU,124924,3007,0,179
youtube#video,Hg7M0ErfE--ofFyABvYljyCiWiY,6xnTQ-qzrN0,336,9,0,1
youtube#video,dAvIX82KHZM21Z0NGlk60CRDh4w,DrSlj9R-S-E,86,1,0,1
youtube#video,yeyXwFgLlwOxUSWPqmzYqPl-bQo,N48ykzFmanI,111,1,0,0
youtube#video,4uPT3VqHNt7DWxKWm-XmmSjNHjU,Q5iyYCuFRE8,180,5,0,0
youtube#video,BcI1VFOzlyFlYReJQalnOIUbtIw,pxttXKRbrUg,1697,45,0,3
youtube#video,BVuuZNm87D4AO6jClUnYEnvtyA4,KkJGO8crE2E,193,5,0,2
youtube#video,8YyqHmAZxt_a0DVfqF1wVWH1Buk,Oqy-VIH9u5Q,31,3,0,0
youtube#video,1WQhT8SSEwusLdgQ-wwMBOP7XZg,NB_m-jeHd7k,59468,405,0,11
youtube#video,vUFUENoiyvWJCFUqyJqfH93S1lM,P19BaMfKcEQ,45275,359,0,108
youtube#video,2rnUIhB57CiZUohNKizFW0JSA14,mfXhkbmrdbI,13652,103,0,24
youtube#video,_nh1ySC3ryUeWmzWyE_ROkqpSYs,OJoOB7wn_4k,514,42,0,14
youtube#video,y-GPzXXosJ3Pix_hxOSuLAzFjT0,aWB9UxEuBAM,115440,821,0,36
youtube#video,pf0nmZ9lJDfgv8bTUPNS0750J_Q,Inz2BynQywc,268,11,0,5
youtube#video,Np3eI4Vod_yu2O4YwUSLo9NxWZQ,rgN7GKYmaVU,21740,180,0,12
youtube#video,t4uPUBE9HeTWVdRKjfLZCm8Y2Uk,GVdNEnOWW6w,146,10,0,5
youtube#video,9k87-U7Hno5THQbSEfvVz2akqyg,iNENq_kjoPw,198,12,0,0
youtube#video,bldQVSYvWwjmxc4i1hIOCVQFZOk,9AVNwzx2RXM,190239,3636,0,285
youtube#video,j9sBazU52pEO_hSv7-82QIz_Vfs,XupwmIqAyfg,534567,13090,0,760
youtube#video,G96TctLHtkid8BEzk9Sqdnn3z2M,h75cPU_sP6c,1523297,24433,0,1649
youtube#video,67A_PeH-NhaQvJ-JzxWuWBI_wHA,bWf-W5c5j9o,608175,12075,0,900
youtube#video,fEHCsfbwTcei0xXuOsuESLzPvOw,2nByi1v_l5g,550602,12821,0,1058
youtube#video,SMy1nDhU48Z1hq5LRYfIVzAp7T0,pUIxa1Q6lY4,368338,11486,0,1070
youtube#video,nqXqxsWiYE-rp5wdfShAUKufWeA,DwwPfyN3N4U,271713,9454,0,905
youtube#video,QZYYNmCSD3vCkmpv3wzheT3GwFY,LkoUJ3QftqQ,682607,23699,0,560
youtube#video,umQ5hQSjTx67DUeyMvfZnv3vpbY,42ivIRd9N8E,34133718,177027,0,27945
youtube#video,w5jr87jLU8UKviXrqCmMT7MHbV0,1ZPMS6cSYGQ,1896874,76334,0,15180
youtube#video,aM5GyAbAmK2u5Kz8FDH4PF6sH1s,y6eU-acjxOU,863,5,0,
youtube#video,YfR69qRrCsTEtT3b_bdWKXNIg5E,OUPaJ0QPnhI,1236,12,0,0
youtube#video,pLB-Fml_YmDyPucXWq8_2jLFVjA,X4Db-hGZj-M,455,11,0,1
youtube#video,udIHvAAkLXobZFC8Go1J1Up5eAU,CYkvWW28oYU,394,12,0,1
youtube#video,wnyq4GBw2CMY4P846lAhRDsDIWk,KuWqJlLgm2A,191,4,0,
youtube#video,6KEwvXsLE0TODQPSgpvvacrCOec,g38sXGDk0L4,75,,0,
youtube#video,rK6cZLKAyjRw3wQCI9MNuUdmxlE,h1oPxROtypY,2206,42,0,
youtube#video,KUMSjlIT13zVgR5DCEqdsSZ54vk,8vxvsLIIqpA,745,9,0,1
youtube#video,05tuQXq2P357PXHxFULM82T4LLo,KhsRQM90vE4,21536,15,0,
