kind,etag,id,viewCount,likeCount,favoriteCount,commentCount
youtube#video,kcg3fG9YIL9jNb8-m5jtruEb0m4,qLzmHKSCtR8,132173,2851,0,290
youtube#video,YQhUxPsAFLe_0pDaSp26DdmreFc,R9qmDYKKHGA,3850,81,0,13
youtube#video,RJdrYDcxX_SK8_FSYmObX3LnjnM,P11g0SYlIHg,6475,91,0,12
youtube#video,Xd6OXNkmXJWV6x1vW1HpHl2M_2Q,r5evwW6A-J0,3876,36,0,3
youtube#video,5I_fqJjljNMPzQyNKn1fz3DxXeQ,7hQqYK5CtiE,1452,27,0,1
youtube#video,a-aySvdXmbfTyQsa70RHL13gm2Q,1flPHceAsXY,125112,1001,0,45
youtube#video,Rjpnyl6xVd8ZyRcgUJUIFD0M1qo,-H6rxMgAU_4,307936,3041,0,304
youtube#video,G28SrLiw8MQP5-h22iPQDSTtv9A,x_bZh1DwHCg,78409,172,0,11
youtube#video,-28U6YaljX9HlfVJfgadMM_1_Fw,lhfWZWB9Vv8,15601,39,0,5
youtube#video,ritxXzbgK8ZYwNr2T86XKaCp5Dk,1s1eOg58vmQ,18391,78,0,9
youtube#video,wDAX_M1Ez3SiwqZiVkk7MlJW42c,DTHLPJAwQz8,22889,607,0,62
youtube#video,t2AzNuvQsPh7Gl5TNq3NvtJSEv4,CYkw1yAprNQ,56184,360,0,10
youtube#video,5rLc4YwjdMWhrW_zB8L6OvZsv2Y,kSNJSgc-baI,16691,85,0,7
youtube#video,Bm-967N24abWcCMUe3WiRvLn4Lo,aEqMMO6uF-k,144939,204,0,110
youtube#video,QZcN5uwky0QQj8s5MPXiCcCcQ0E,ylAG1MBDzb0,183107,703,0,79
youtube#video,44qkmOob8pHeMMcSVOSgSbZsKoE,BsN8Xq7O8WE,8581,165,0,18
youtube#video,NE4sMskShbm3mr-mDHUrvJ3jc5o,JrOmNY8VPA8,231,21,0,3
youtube#video,eZnWc3_LemGwvw9r7Nz8-N9YRWA,5Wtk1tCxDhY,614,32,0,12
