collection_id,name,number_movies_before_2020,avg_popularity_before_2020,insertion_datetime
693992,Locos de amor - Colección,2,2.9775,2024-04-07 14:12:17.081514
632906,Dilan,2,4.968999999999999,2024-04-07 14:12:17.081514
795277,Honest Candidate Collection,0,,2024-04-07 14:12:17.081514
569738,To All the Boys Collection,1,43.774,2024-04-07 14:12:17.081514
720879,Sonic the Hedgehog Collection,0,,2024-04-07 14:12:17.081514
1080055,The Doctors,6,0.9365,2024-04-07 14:12:17.081514
727454,Dark Girls Collection,1,2.965,2024-04-07 14:12:17.081514
1217425,Autodale,4,0.6,2024-04-07 14:12:17.081514
827880,Blacks Can't Swim - Collection,0,,2024-04-07 14:12:17.081514
107949,Puppet Master Collection,11,7.711272727272727,2024-04-07 14:12:17.081514
359402,Bobule Collection,2,2.5485,2024-04-07 14:12:17.081514
986568,Top Gunner Collection,0,,2024-04-07 14:12:17.081514
765697,Time Warp Collection,0,,2024-04-07 14:12:17.081514
914452,德云社郭德纲相声（系列）,29,0.6958620689655174,2024-04-07 14:12:17.081514
936925,C600 Collection,0,,2024-04-07 14:12:17.081514
1036047,Les duos impossibles de Jérémy Ferrari - Collection,6,2.0555,2024-04-07 14:12:17.081514
1036633,Uncle Tom Collection,0,,2024-04-07 14:12:17.081514
1002775,Lost Bullet Collection,0,,2024-04-07 14:12:17.081514
811796,Tooth Fairy (Horror) Collection,1,7.055,2024-04-07 14:12:17.081514
14246,Sniper Collection,7,24.416,2024-04-07 14:12:17.081514
683698,Z-O-M-B-I-E-S Collection,1,34.603,2024-04-07 14:12:17.081514
1018402,My Wife's Mom Collection,1,5.147,2024-04-07 14:12:17.081514
922259,Sister-in-law's Taste Collection,0,,2024-04-07 14:12:17.081514
852642,IZ*ONE Collection,1,0.6,2024-04-07 14:12:17.081514
1156983,Spirit Pandemic Collection,17,0.5999999999999999,2024-04-07 14:12:17.081514
700168,Mom's Friend Series,6,21.221666666666664,2024-04-07 14:12:17.081514
592431,Die Drei von der Müllabfuhr Filmreihe,2,1.215,2024-04-07 14:12:17.081514
767217,A Very Country Collection,2,5.565,2024-04-07 14:12:17.081514
534537,...mit Hindernissen Filmreihe,2,1.5485,2024-04-07 14:12:17.081514
552742,Oh My Ghost Collection,6,3.621333333333333,2024-04-07 14:12:17.081514
383032,Honto Ni Atta! Noroi no Video Collection,57,0.7233508771929827,2024-04-07 14:12:17.081514
1179647,Riot Holiday Collection,0,,2024-04-07 14:12:17.081514
729322,Gabriel's Inferno Collection,0,,2024-04-07 14:12:17.081514
709271,The Debt Collector Collection,1,26.478,2024-04-07 14:12:17.081514
717136,Let's Go To Rose Motel Series,3,6.476666666666667,2024-04-07 14:12:17.081514
1089627,Teenage Girl Collection,1,1.332,2024-04-07 14:12:17.081514
798289,Crimes of the South,1,13.923,2024-04-07 14:12:17.081514
1018422,Bosomy Mom Collection,0,,2024-04-07 14:12:17.081514
974743,The Summer of Mesa Collection,0,,2024-04-07 14:12:17.081514
857944,On the Trail of UFOs Collection,0,,2024-04-07 14:12:17.081514
724103,Aunt's Temptation Series,2,7.650499999999999,2024-04-07 14:12:17.081514
717064,Monkey King Collection,2,3.802,2024-04-07 14:12:17.081514
1018419,Pizza Dare Collection,0,,2024-04-07 14:12:17.081514
690428,Zimmer mit Stall Filmreihe,3,0.8719999999999999,2024-04-07 14:12:17.081514
781201,The Fast and the Fierce Collection,1,4.744,2024-04-07 14:12:17.081514
521293,Aurora Teagarden Mystery Collection,12,9.17525,2024-04-07 14:12:17.081514
1121269,Muppet Guys Talking Collection,1,2.044,2024-04-07 14:12:17.081514
1265597,Paranoia Tapes,4,0.97125,2024-04-07 14:12:17.081514
1018461,Extreme Lesson Collection,1,2.861,2024-04-07 14:12:17.081514
1018312,Girlfriend's Taste Collection,0,,2024-04-07 14:12:17.081514
1018340,18 Year Old Actress Collection,0,,2024-04-07 14:12:17.081514
1064214,JL Family Ranch Collection,1,5.525,2024-04-07 14:12:17.081514
1077118,Enchantimals Collection,1,4.91,2024-04-07 14:12:17.081514
987064,Thrive Collection,1,6.601,2024-04-07 14:12:17.081514
911649,X ont brillé à la télé : que sont-X devenus ?,0,,2024-04-07 14:12:17.081514
1190039,Sörensen ermittelt-Filmreihe,0,,2024-04-07 14:12:17.081514
822306,Miraculous World,0,,2024-04-07 14:12:17.081514
852378,Sex Girl Series,0,,2024-04-07 14:12:17.081514
911032,Warkop DKI Reborn Collection,3,1.4373333333333334,2024-04-07 14:12:17.081514
653222,Rogue Warfare Collection,2,10.697,2024-04-07 14:12:17.081514
619972,Knutsen & Ludvigsen Collection,1,4.409,2024-04-07 14:12:17.081514
729083,Reindeerspotting Collection,1,3.801,2024-04-07 14:12:17.081514
773768,Ooops! Noah is Gone... Collection,1,32.224,2024-04-07 14:12:17.081514
265865,Space Dogs Collection,2,9.322500000000002,2024-04-07 14:12:17.081514
1206673,Happiness,1,1.357,2024-04-07 14:12:17.081514
829314,Enola Holmes Collection,0,,2024-04-07 14:12:17.081514
1008390,Auf dem Trockenen,0,,2024-04-07 14:12:17.081514
925823,Time100 Collection,0,,2024-04-07 14:12:17.081514
1166352,Migrations Collection,0,,2024-04-07 14:12:17.081514
894367,Benyamin The Troublemaker,1,1.637,2024-04-07 14:12:17.081514
1110114,Princezna zakletá v čase,0,,2024-04-07 14:12:17.081514
1265590,The Imelda Series,1,1.4,2024-04-07 14:12:17.081514
1132590,ETs Among Us Collection,3,1.0723333333333334,2024-04-07 14:12:17.081514
663817,The Little Grey Wolfy,3,0.6236666666666667,2024-04-07 14:12:17.081514
814568,The Obsession Collection,0,,2024-04-07 14:12:17.081514
1018181,Hole-in-law Collection,0,,2024-04-07 14:12:17.081514
881468,Fear PHarm Collection,0,,2024-04-07 14:12:17.081514
117354,Crayon Shin-chan Collection,27,14.65825925925926,2024-04-07 14:12:17.081514
1095650,Super Monsters Collection,6,4.201833333333333,2024-04-07 14:12:17.081514
913931,PAW Patrol Collection,31,3.936774193548386,2024-04-07 14:12:17.081514
747566,The Corporation Collection,1,7.156,2024-04-07 14:12:17.081514
737382,The Babysitter Collection,1,27.254,2024-04-07 14:12:17.081514
852877,Pretty Young Sister,0,,2024-04-07 14:12:17.081514
55428,Curious George Collection,7,14.457285714285716,2024-04-07 14:12:17.081514
1178434,Shugaley Collection,0,,2024-04-07 14:12:17.081514
739953,From Bedroom to Billions Collection,2,1.537,2024-04-07 14:12:17.081514
977876,The Tribunal Collection,1,1.586,2024-04-07 14:12:17.081514
1260894,Psychic Darkness Video Collection,36,0.6000000000000002,2024-04-07 14:12:17.081514
776024,The Rope Curse,1,2.968,2024-04-07 14:12:17.081514
702624,After Collection,1,79.991,2024-04-07 14:12:17.081514
1018278,Dangerous Uncles Collection,0,,2024-04-07 14:12:17.081514
